,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url,label
0,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,lifesux_rin,"@M1Singapore is this the official M1 twitter feed? If so, why are your tweets protected?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> is this the official M1 twitter feed? If so, why are your tweets protected?</p>",31-01-2018 12.04,1517400253,9.59E+17,/lifesux_rin/status/958672265188487169,7.07E+17,Rin,,0
2,FALSE,['M1Singapore'],[],TRUE,FALSE,0,[],,1,[],0,mukeshkini,Sad to see #M1Singapore forcing customers to migrate to new plans and closing down the existing. Existing customers shudd be allowed to continue.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sad to see <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/M1Singapore?src=hash""><s>#</s><b><strong>M1Singapore</strong></b></a> forcing customers to migrate to new plans and closing down the existing. Existing customers shudd be allowed to continue.</p>",26-07-2018 4.30,1532579430,1.02E+18,/mukeshkini/status/1022338347463716864,46041401,Kini,,0
3,FALSE,[],[],TRUE,FALSE,0,[],,1,[],0,nicoco_lin,"@Singtel @StarHub @M1Singapore please introduce option to do data rollover of leftover data.
Other countries' telcos are doing this go make their company more competitive. We paid for our data and fear of overcharges badly hence we don't use all of our plans.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16678443"" dir=""ltr"" href=""/Singtel""><s>@</s><b>Singtel</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""253346744"" dir=""ltr"" href=""/StarHub""><s>@</s><b>StarHub</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> please introduce option to do data rollover of leftover data.
Other countries' telcos are doing this go make their company more competitive. We paid for our data and fear of overcharges badly hence we don't use all of our plans.</p>",23-07-2018 12.33,1532349219,1.02E+18,/nicoco_lin/status/1021372769345269761,2450239092,Lin,,0
4,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,vijayakumar,How to lose a customer for 9MB of data usage? Ask me M1 Singapore @M1Singapore @M1_Singapore,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">How to lose a customer for 9MB of data usage? Ask me M1 Singapore <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""387441873"" dir=""ltr"" href=""/M1_Singapore""><s>@</s><b>M1_Singapore</b></a></p>",21-07-2018 5.12,1532149966,1.02E+18,/vijayakumar/status/1020537045624602629,7951022,Vijayakumar G A,,0
8,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,samjoss007,@M1Singapore disappointed to learn that M1 doesnt care about customer loyalty and happy for me to allow porting to @Singtel or @StarHub...,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> disappointed to learn that M1 doesnt care about customer loyalty and happy for me to allow porting to <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16678443"" dir=""ltr"" href=""/Singtel""><s>@</s><b>Singtel</b></a> or <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""253346744"" dir=""ltr"" href=""/StarHub""><s>@</s><b>StarHub</b></a>...</p>",08-07-2018 5.37,1531028231,1.02E+18,/samjoss007/status/1015832144654897152,100670113,SDJ,,0
9,FALSE,"['UAS', 'BVLOS', 'UTM', 'Droneshttps']",[],FALSE,FALSE,8,['https://www.unmannedairspace.info/uncategorized/singapore-announces-utm-drone-services-technology-partners/'],,0,[],2,OneSkyTweets,"Congrats to everyone on this great team!  @AGItweets @OneSkyTweets @Nova_Systems @NTUsg @M1Singapore @AerialScout Looking forward to some exciting work in Singapore  @SingaporeCAAS
#UAS #BVLOS #UTM #Droneshttps://www.unmannedairspace.info/uncategorized/singapore-announces-utm-drone-services-technology-partners/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Congrats to everyone on this great team!  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""121528651"" dir=""ltr"" href=""/AGItweets""><s>@</s><b>AGItweets</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""864864742078394371"" dir=""ltr"" href=""/OneSkyTweets""><s>@</s><b>OneSkyTweets</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""393013404"" dir=""ltr"" href=""/Nova_Systems""><s>@</s><b>Nova_Systems</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""217313010"" dir=""ltr"" href=""/NTUsg""><s>@</s><b>NTUsg</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2590387860"" dir=""ltr"" href=""/AerialScout""><s>@</s><b>AerialScout</b></a> Looking forward to some exciting work in Singapore <img alt=""🇸🇬"" aria-label=""Emoji: Flag of Singapore"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1f8-1f1ec.png"" title=""Flag of Singapore""/> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1340754055"" dir=""ltr"" href=""/SingaporeCAAS""><s>@</s><b>SingaporeCAAS</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UAS?src=hash""><s>#</s><b>UAS</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BVLOS?src=hash""><s>#</s><b>BVLOS</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UTM?src=hash""><s>#</s><b>UTM</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Drones?src=hash""><s>#</s><b>Drones</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.unmannedairspace.info/uncategorized/singapore-announces-utm-drone-services-technology-partners/"" dir=""ltr"" href=""https://t.co/36kCZcCdU1"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.unmannedairspace.info/uncategorized/singapore-announces-utm-drone-services-technology-partners/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">unmannedairspace.info/uncategorized/</span><span class=""invisible"">singapore-announces-utm-drone-services-technology-partners/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",06-07-2018 11.11,1530875519,1.02E+18,/OneSkyTweets/status/1015191623435726848,8.65E+17,OneSky,,1
12,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,akdkoaskdakdas,"@m1singapore Educate yourself on what the definition of ‘Objectional Materials’ is, scumbags.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>m1singapore</strong></b></a> Educate yourself on what the definition of ‘Objectional Materials’ is, scumbags.</p>",18-08-2018 13.40,1534599628,1.03E+18,/akdkoaskdakdas/status/1030811671294443520,7.25E+17,stupid im not gon let u get the CHANCE,,1
13,TRUE,"['Blog', 'Singapore', 'MVNOs', 'Singtel', 'M1Singapore', 'StarHub']",['https://pbs.twimg.com/media/DkjAkzsUYAA9TM0.jpg'],FALSE,FALSE,2,['https://www.mobileworldlive.com/blog/blog-big-3-feel-heat-from-singapore-mvnos/'],,0,[],5,mobileworldlive,#Blog by @telecomwaring: #Singapore's big 3 mobile operators feel heat from #MVNOs @TAnh_Ng @CirclesLifeSG @canalys @MyRepublic #Singtel #M1Singapore #StarHub https://www.mobileworldlive.com/blog/blog-big-3-feel-heat-from-singapore-mvnos/ …pic.twitter.com/C4cniCLPfv,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Blog?src=hash""><s>#</s><b>Blog</b></a> by <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""586407920"" dir=""ltr"" href=""/Telecomwaring""><s>@</s><b>telecomwaring</b></a>: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Singapore?src=hash""><s>#</s><b>Singapore</b></a>'s big 3 mobile operators feel heat from <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MVNOs?src=hash""><s>#</s><b>MVNOs</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""770903809820286976"" dir=""ltr"" href=""/TAnh_Ng""><s>@</s><b>TAnh_Ng</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""706682780206280704"" dir=""ltr"" href=""/CirclesLifeSG""><s>@</s><b>CirclesLifeSG</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""22785567"" dir=""ltr"" href=""/Canalys""><s>@</s><b>canalys</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1189748308924751873"" dir=""ltr"" href=""/MyRepublic""><s>@</s><b>MyRepublic</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Singtel?src=hash""><s>#</s><b>Singtel</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/M1Singapore?src=hash""><s>#</s><b><strong>M1Singapore</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/StarHub?src=hash""><s>#</s><b>StarHub</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://www.mobileworldlive.com/blog/blog-big-3-feel-heat-from-singapore-mvnos/"" dir=""ltr"" href=""https://t.co/VyptpQrbaJ"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.mobileworldlive.com/blog/blog-big-3-feel-heat-from-singapore-mvnos/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">mobileworldlive.com/blog/blog-big-</span><span class=""invisible"">3-feel-heat-from-singapore-mvnos/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/C4cniCLPfv"">pic.twitter.com/C4cniCLPfv</a></p>",14-08-2018 8.31,1534235464,1.03E+18,/mobileworldlive/status/1029284256432959488,23458031,Mobile World Live,,0
14,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,hasegawakeishi,Mobile services down? @m1singapore,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Mobile services down? <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>m1singapore</strong></b></a></p>",13-08-2018 23.55,1534204501,1.03E+18,/hasegawakeishi/status/1029154389187936259,4919266587,Keishi Hasegawa,,0
18,FALSE,"['M1Singapore', 'M1', 'SFRS15']",[],FALSE,FALSE,0,['https://research.sginvestors.io/2018/04/m1-ltd-rhb-invest-2018-04-17.html#.WtadetcW7fM.twitter'],,0,[],1,SGinvestors,"M1 Ltd (SGX:B2F)
- RHB Invest 2018-04-17: 1Q18 results boardly inline, though distorted By SFRS 15. 

#M1Singapore #M1 #SFRS15 https://research.sginvestors.io/2018/04/m1-ltd-rhb-invest-2018-04-17.html#.WtadetcW7fM.twitter … via @SGinvestors","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">M1 Ltd (SGX:B2F)
- RHB Invest 2018-04-17: 1Q18 results boardly inline, though distorted By SFRS 15. 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/M1Singapore?src=hash""><s>#</s><b><strong>M1Singapore</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/M1?src=hash""><s>#</s><b>M1</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SFRS15?src=hash""><s>#</s><b>SFRS15</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://research.sginvestors.io/2018/04/m1-ltd-rhb-invest-2018-04-17.html#.WtadetcW7fM.twitter"" dir=""ltr"" href=""https://t.co/cQGue5DHa6"" rel=""nofollow noopener"" target=""_blank"" title=""https://research.sginvestors.io/2018/04/m1-ltd-rhb-invest-2018-04-17.html#.WtadetcW7fM.twitter""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">research.sginvestors.io/2018/04/m1-ltd</span><span class=""invisible"">-rhb-invest-2018-04-17.html#.WtadetcW7fM.twitter</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""738248149232291840"" dir=""ltr"" href=""/SGinvestors""><s>@</s><b>SGinvestors</b></a></p>",18-04-2018 1.22,1524014559,9.86E+17,/SGinvestors/status/986414674341052416,7.38E+17,SGinvestors.io,,1
