,text,target,target_new
0,@enjoyGLOBE pls confirm the intl data roaming promo enabled or not for one day for 09178734795 Registered through143 and switched to SingTel,-0.5,0
1,New post Global IOT Smoke Detectors Market Revenue Strategy 2019 Credencys Huawei Singtel San Jiang etc  M ,0,1
2,Usually those hazard light should not to go for BBW Kl sentral ke tak berkesempatan pegi Singtel Formula One Haa Baulah hall tu RT Nolah,0,1
3,GlobalData Plc  Singtel Optus Pty Ltd  Strategic SWOT Analysis Review Singtel Optus Pty Ltd  Strategic SWOT Analysis Review provides a comprehensive insight into the companys history corporate strategy business structure and operations The report pictwittercomOfnuDldfID,0.9,1
4,It is no fun doing trading at night and out of sudden the network down on you,-0.6,0
6,Its faulty and wont pick up a signal I restarted everything 3 times and checked the connection but  called singtel and they said services are running so theyre offering to replace the box,-0.9,0
7,Spot me Haha shoot for singtel pictwittercomA9BkMxvhvH,0.7,1
8,Hello @StarHub can you please advice what are the european football leagues season 1920 offered in StarHub  Thanks ,0.4,1
9,Please stop giving generic reply European football leagues seasons are going to commence in 3 weeks yet SingTel Tv is clueless on what to offer for prospective customers ,-0.9,0
10,Hi Team its been 24 hours now I have pretty shared all the details you have asked for DMed with Sarah  Jono and Quade but I am still with no solution Gosh this has to be a joke @Optus  @Singtel @SingtelSupport would you know whats going on ,-0.7,0
11,Hi I understand youve spoken to my colleague over the phone and will be discussing further on the appointment details via email As my colleague will be overseeing your concerns personally we strongly encourage maintaining a single point of contact to avoid any confusion,0.7,1
12,TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study,-0.7,0
13,I emphasize I did not make any appt I challenge u to charge me 145pictwittercomQkONwIOWBR,-0.5,0
14,TPG Telecom users experience slower downloads and uploads compared to Singtel StarHub and M1 study claims pictwittercomSepQoSCEiK,-0.6,0
15,@TMobile @digitelco @Singtel @StarHub @ATT @sprint @Vodacom Topup any mobile phones worldwide using @Bitcoin @ethereum and @xceltokenplus 900 telecom operators in 160 countries @CoinDeskMarkets @coindesk @Cointelegraph @newsbtc @CCNMarkets @tokenpost @CNB,-0.2,0
16,Singtel takes store on the road  Mobile World Live ,0.2,1
17,TPG Telecom users experience slower downloads and uploads compared to Singtel StarHub and M1 study claims ,-0.6,0
18,Thanks for sharing this with us  our sales agents will generally be in touch within 3 working days Able to let us know if youve still yet to receive a callback by Monday evening Well be here to help,0.8,1
19,This is really funny I hv just received a call at 1245pm from Singtel technician and ask if he can come up to my house now,0.7,1
20,@enjoyGLOBE pls confirm the intl data roaming promo enabled or not for one day for 09178734795 Registered through143 and switched to SingTel,-0.5,0
21,New post Global IOT Smoke Detectors Market Revenue Strategy 2019 Credencys Huawei Singtel San Jiang etc  M ,0,1
22,Usually those hazard light should not to go for BBW Kl sentral ke tak berkesempatan pegi Singtel Formula One Haa Baulah hall tu RT Nolah,0,1
23,GlobalData Plc  Singtel Optus Pty Ltd  Strategic SWOT Analysis Review Singtel Optus Pty Ltd  Strategic SWOT Analysis Review provides a comprehensive insight into the companys history corporate strategy business structure and operations The report pictwittercomOfnuDldfID,0.9,1
24,It is no fun doing trading at night and out of sudden the network down on you,-0.6,0
25,Chart of the Week Singtel Shares Back in Favour  sg singapore,-0.1,0
26,Its faulty and wont pick up a signal I restarted everything 3 times and checked the connection but  called singtel and they said services are running so theyre offering to replace the box,-0.9,0
27,Spot me Haha shoot for singtel pictwittercomA9BkMxvhvH,0.7,1
28,Hello @StarHub can you please advice what are the european football leagues season 1920 offered in StarHub  Thanks ,0.4,1
29,Please stop giving generic reply European football leagues seasons are going to commence in 3 weeks yet SingTel Tv is clueless on what to offer for prospective customers ,-0.9,0
30,Hi Team its been 24 hours now I have pretty shared all the details you have asked for DMed with Sarah  Jono and Quade but I am still with no solution Gosh this has to be a joke @Optus  @Singtel @SingtelSupport would you know whats going on ,-0.7,0
31,Hi I understand youve spoken to my colleague over the phone and will be discussing further on the appointment details via email As my colleague will be overseeing your concerns personally we strongly encourage maintaining a single point of contact to avoid any confusion,0.7,1
