,text,target,target_new,username,timestamp
0,@enjoyGLOBE pls confirm the intl data roaming promo enabled or not for one day for 09178734795 Registered through143 and switched to SingTel,-0.5,0,iotng,1562950273
1,New post Global IOT Smoke Detectors Market Revenue Strategy 2019 Credencys Huawei Singtel San Jiang etc  M ,0,1,Rakyat | Ebooks,1562947179
2,Usually those hazard light should not to go for BBW Kl sentral ke tak berkesempatan pegi Singtel Formula One Haa Baulah hall tu RT Nolah,0,1,ResearchPool,1562941742
3,GlobalData Plc  Singtel Optus Pty Ltd  Strategic SWOT Analysis Review Singtel Optus Pty Ltd  Strategic SWOT Analysis Review provides a comprehensive insight into the companys history corporate strategy business structure and operations The report pictwittercomOfnuDldfID,0.9,1,optbot,1562936351
4,It is no fun doing trading at night and out of sudden the network down on you,-0.6,0,WeInvest.net,1562935886
5,Its faulty and wont pick up a signal I restarted everything 3 times and checked the connection but  called singtel and they said services are running so theyre offering to replace the box,-0.9,0,不器用 '20 @赤月,1562930148
6,Spot me Haha shoot for singtel pictwittercomA9BkMxvhvH,0.7,1,Phoenicia Teong,1562927274
7,Hello @StarHub can you please advice what are the european football leagues season 1920 offered in StarHub  Thanks ,0.4,1,Takefusa Kubo 😍,1562922584
8,Please stop giving generic reply European football leagues seasons are going to commence in 3 weeks yet SingTel Tv is clueless on what to offer for prospective customers ,-0.9,0,Takefusa Kubo 😍,1562921098
9,Hi Team its been 24 hours now I have pretty shared all the details you have asked for DMed with Sarah  Jono and Quade but I am still with no solution Gosh this has to be a joke @Optus  @Singtel @SingtelSupport would you know whats going on ,-0.7,0,Indrani Chall,1562920924
10,Hi I understand youve spoken to my colleague over the phone and will be discussing further on the appointment details via email As my colleague will be overseeing your concerns personally we strongly encourage maintaining a single point of contact to avoid any confusion,0.7,1,Priscilla,1562920840
11,TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study,-0.7,0,Belinda,1562918403
12,I emphasize I did not make any appt I challenge u to charge me 145pictwittercomQkONwIOWBR,-0.5,0,Erica,1562917454
13,TPG Telecom users experience slower downloads and uploads compared to Singtel StarHub and M1 study claims pictwittercomSepQoSCEiK,-0.6,0,Business Insider SG,1562913845
14,@TMobile @digitelco @Singtel @StarHub @ATT @sprint @Vodacom Topup any mobile phones worldwide using @Bitcoin @ethereum and @xceltokenplus 900 telecom operators in 160 countries @CoinDeskMarkets @coindesk @Cointelegraph @newsbtc @CCNMarkets @tokenpost @CNB,-0.2,0,XcelPay Wallet,1562912428
15,Singtel takes store on the road  Mobile World Live ,0.2,1,mentalmarketer,1562912284
16,TPG Telecom users experience slower downloads and uploads compared to Singtel StarHub and M1 study claims ,-0.6,0,Business Insider MY,1562911822
17,Thanks for sharing this with us  our sales agents will generally be in touch within 3 working days Able to let us know if youve still yet to receive a callback by Monday evening Well be here to help,0.8,1,Priscilla,1562910478
18,This is really funny I hv just received a call at 1245pm from Singtel technician and ask if he can come up to my house now,0.7,1,Erica,1562909820
19,Chart of the Week Singtel Shares Back in Favour  sg singapore,-0.1,0,Krishna Balanagu,1562907228
20,singtel promo Dont trust these services Topped up 10SGD at vendor but still zero balance on prepaid HiCard Vendor refuses to reimburse and @SingTelSupport and @SingTel has endless loop helpline WasteOfTime Ripoff BadService,-0.9,0,iotng,1562950273
21,Such details are quite urgent to me as Im trying to make alternative arrangements if Singtel TV is not offering the mentioned leagues Thanks ,0,1,Rakyat | Ebooks,1562947179
22,This is nothing new from SingtelTv I would appreciate if you can connect me to the relevant sources to get some updates sooner pertains to Ligue 1  La Liga,-0.2,0,ResearchPool,1562941742
23,Signed up on 10 July no order id wasgiven to mepictwittercomaPxgjVbqRG,-0.6,0,optbot,1562936351
24,Able to share with us when was your signup done Also is there any Order ID reflected in the email confirmation youve received,0.7,1,WeInvest.net,1562935886
25,There was an automated reply to my email acknowledging my sign up and nothing else I signed up sim only plan  contract one year I didnt get any call also from SingTel Much less about service agreement,-0.8,0,不器用 '20 @赤月,1562930148
26,Dapet dari tokonya Singtel kak,-0.5,0,Phoenicia Teong,1562927274
27,Hi Able to share with us which plan did you signup for Additionally did you receive any order confirmation or a Service Agreement via email You may also wish to try checking your junkspampromotions folder just in case,0.6,1,Takefusa Kubo 😍,1562922584
28,Hi Are you currently facing issues with your Fibre Broadband service Do let us know well be here to help,0,1,Takefusa Kubo 😍,1562921098
29,Hi Are you currently still facing issues with your Fibre Broadband service Do let us know well be here to help,-0.3,0,Indrani Chall,1562920924
30,Singtel Innov8 InnovfestUnbound FlashbackFriday@NeurobitTech the physiological data analytics platform impressed @singtelinnov8 with their solution As a result theyll be heading to their office to pitch their innovation to the board of investors pictwittercomVG35HyZmLm,0.7,1,Priscilla,1562920840
31,TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study pictwittercomaKAR5b6vfl,-0.7,0,Belinda,1562918403
32,@Singtel ihave signed up online mobile plan a few days ago and i still havent got any updates when my new mobile plan take effect You are very inefficient,-0.9,0,Erica,1562917454
33,No surprise They just started Building infrastructure take time TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study  TODAYonline ,-0.9,0,Business Insider SG,1562913845
34,If I burst my data @Singtel better not charge me for it Nobody touched the phone port and they say no broadband connection,-0.8,0,XcelPay Wallet,1562912428
35,Jadi modemnya besok gak bisa kita pakek ya sis Beli kartu di singtel aja apa ya @yuutri @jayparamita,-0.2,0,mentalmarketer,1562912284
36,Hi there saw your tweet We are concerned to learn that you are experiencing connectivity issues  Able to share if it still persists And if so are you referring to home broadband or public Singtel WiFi,0,1,Business Insider MY,1562911822
37,Please bear for the responsibilities of the outage and not pushing your consumer to pay for your responsibilities @Singtel,-0.4,0,Priscilla,1562910478
38,We are concerned to learn that you are experiencing connectivity issues  Able to share if it still persists And if so are you referring to home broadband or public Singtel WiFi,-0.1,0,Erica,1562909820
39,Singtel,0,1,Brad Lee,1562907228
40,Download N960FXXU3CSF9 Galaxy Note 9 SMN960F Android pie Stable Update to Singapore singtel  SIN ,0.5,1,Takefusa Kubo 😍,1562906095
41,IS SINGTEL WIFI DOWN OR SOMETHING CB,-0.1,0,Takefusa Kubo 😍,1562904583
